comune,year,DC_VV,bui_labf,laurea_p,laureaf_p,h_wo_water_wc_p,illiterate_p,young_p,Mafia1987
torregrotta,1976,0.443676292896271,0.112439230084419,0.00801726058125496,0.00216151168569922,0,0.0759325325489044,0.403722047805786,0
torregrotta,1979,0.439782440662384,0.110538609325886,0.00951727107167244,0.00279634958133101,0,0.0602506697177887,0.404631108045578,0
torregrotta,1983,0.390804588794708,0.116248786449432,0.00957046542316675,0.00297222309745848,3.30469265463762e-5,0.0449591502547264,0.397818297147751,0
torregrotta,1987,0.401612430810928,0.130203291773796,0.00767683889716864,0.00247751921415329,9.91407869150862e-5,0.0352852568030357,0.382980525493622,0
torregrotta,1992,0.477134972810745,0.14041593670845,0.00911806710064411,0.00397040974348783,1.48711173096672e-4,0.0243495292961597,0.36216002702713,0
torretta,1946,0.547649323940277,0,0.00211507687345147,0,0.00440073851495981,0.177806168794632,0.529699623584747,0
torretta,1948,0.710526287555695,0,0.0023512972984463,1.85833596333396e-5,0.00448027020320296,0.172051668167114,0.52355569601059,0
torretta,1953,0.588235318660736,0.0306176524609327,0.00294184824451804,4.3854903196916e-4,0.00467909825965762,0.15766541659832,0.508195877075195,0
torretta,1958,0.687661349773407,0.0734755471348763,0.00353239895775914,8.58514744322747e-4,0.00487792678177357,0.143279165029526,0.492836087942123,0
torretta,1963,0.575671017169952,0.139989167451859,0.00363174732774496,9.53690789174289e-4,0.00406307447701693,0.123976498842239,0.484316974878311,0
torretta,1968,0.573469400405884,0.241986393928528,0.00299429171718657,5.61682332772762e-4,0.00172770116478205,0.0972992181777954,0.486058950424194,0
torretta,1972,0.553805768489838,0.301413267850876,0.00287868943996727,4.91849379613996e-4,3.2683287281543e-4,0.0779820531606674,0.482849180698395,0
torretta,1976,0.728434503078461,0.294327408075333,0.00394617347046733,0.00115333765279502,3.28255177009851e-4,0.0647388398647308,0.465829312801361,0
torretta,1979,0.780680418014526,0.289013028144836,0.00474678631871939,0.00164945388678461,3.2932186149992e-4,0.0548064261674881,0.453064382076263,0
torretta,1983,0.716825425624847,0.260601133108139,0.00644876342266798,0.00209257914684713,5.1823677495122e-4,0.0468732453882694,0.437372177839279,0
torretta,1987,0.557657122612,0.21086323261261,0.00878523290157318,0.00231734151020646,8.94644297659397e-4,0.0442500934004784,0.423007667064667,0
torretta,1992,0.619612097740173,0.153115555644035,0.01303721498698,0.00384498666971922,0.00114394666161388,0.039626881480217,0.402236729860306,0
tortorici,1946,0.12172244489193,0.0959606766700745,0.00368339684791863,7.46875652112067e-4,0.290386646986008,0.280504673719406,0.493662416934967,0
tortorici,1948,0.271237313747406,0.0946462750434875,0.00379222934134305,7.79281661380082e-4,0.261951625347137,0.260106682777405,0.491579651832581,0
tortorici,1953,0.3047756254673,0.0913602933287621,0.00406431034207344,8.60296713653952e-4,0.190863996744156,0.209111735224724,0.486372768878937,0
tortorici,1958,0.359853863716125,0.0880743116140366,0.00433639110997319,9.41311765927821e-4,0.119776397943497,0.158116772770882,0.481165885925293,0
tortorici,1963,0.337356925010681,0.0879415199160576,0.00474126450717449,0.0010963506065309,0.0737043917179108,0.121878854930401,0.474613785743713,0
tortorici,1968,0.244376495480537,0.092538520693779,0.00534532591700554,0.00136242527514696,0.0651557892560959,0.107776492834091,0.466043800115585,0
tortorici,1972,0.347872346639633,0.0948271900415421,0.00626510102301836,0.00184072821866721,0.0557308569550514,0.0957794785499573,0.457905620336533,0
tortorici,1976,0.415978997945786,0.0929490625858307,0.00849445443600416,0.0031153610907495,0.0385477505624294,0.0816371291875839,0.445920795202255,0
tortorici,1979,0.386279344558716,0.0915404707193375,0.0101664690300822,0.00407133530825377,0.0256604179739952,0.0710303634405136,0.436932176351547,0
tortorici,1983,0.307034224271774,0.0869747549295425,0.0119716394692659,0.00520492251962423,0.0172618813812733,0.0600075200200081,0.420046478509903,0
tortorici,1987,0.326653301715851,0.0797214582562447,0.0133526278659701,0.00619746372103691,0.0176479127258062,0.0521041862666607,0.398259937763214,0
tortorici,1992,0.44917756319046,0.0712841153144836,0.0163392201066017,0.00801048707216978,0.0164428930729628,0.0430853441357613,0.3691246509552,0
trabia,1946,0.273095637559891,0,0.00710596237331629,0.00193689647130668,0.0426487624645233,0.235169649124146,0.519897818565369,1
trabia,1948,0.551517188549042,0.00250343000516295,0.00681262975558639,0.0017658609431237,0.0401456877589226,0.225421756505966,0.5113685131073,1
trabia,1953,0.53973400592804,0.0365056097507477,0.00607929844409227,0.00133827177342027,0.033888004720211,0.20105205476284,0.490045249462128,1
trabia,1958,0.634194254875183,0.070507787168026,0.00534596759825945,9.10682661924511e-4,0.0276303254067898,0.176682338118553,0.468722015619278,1
trabia,1963,0.54430741071701,0.0965749695897102,0.00572231551632285,0.00109094765502959,0.0191321074962616,0.152007281780243,0.45168662071228,1
trabia,1968,0.552887380123138,0.110739663243294,0.00776318181306124,0.00218299380503595,0.00727309007197618,0.126874223351479,0.441083043813705,1
trabia,1972,0.513260126113892,0.118610307574272,0.00941324420273304,0.00321655557490885,1.7070047033485e-4,0.109194196760654,0.43266236782074,1
trabia,1976,0.585583388805389,0.116097643971443,0.0111154140904546,0.00472989212721586,2.22786504309624e-4,0.0987934097647667,0.424428254365921,1
trabia,1979,0.547535598278046,0.114213138818741,0.0123920412734151,0.00586489494889975,2.61851033428684e-4,0.0909928232431412,0.418252676725388,1
